キー,日本語,繁体字中国語,繁体字中国語修正依頼
welcome,Setlinkへようこそ,歡迎使用Setlink,
description,歌枠をもっと楽しく、もっと便利に,讓歌唱直播更有趣、更便利,
menu,メニュー,選單,
songList,曲リスト,歌曲列表,
setlist,セットリスト,曲目清單,
publicListManagement,公開リスト管理,公開清單管理,
singingTool,歌枠ツール,歌唱直播工具,
dashboard,ダッシュボード,數據分析,
settings,設定,設定,
adminPage,管理者ページ,管理者頁面,
createSetlist,セトリを作る,創建曲目清單,
songDeletedSetlistUpdated,曲が削除され、セットリストが更新されました。,歌曲已刪除，曲目清單已更新。,
songDeletionFailed,曲の削除に失敗しました。,刪除曲目失敗。,
selectedSongsDeletedSetlistUpdated,選択された曲が削除され、セットリストが更新されました。,所選歌曲已刪除，曲目清單已更新。,
freePlanUpToMaxSongsUpgradeConfirm,無料プランでは{{FREE_PLAN_MAX_SONGS}}曲まで追加できます。有料プランにアップグレードしますか？,免費方案可添加 {{FREE_PLAN_MAX_SONGS}} 首歌曲。是否升級為付費方案？,
countSelectedItems,{{count}}件選択中,已選擇 {{count}} 項,
addToSetlist,セットリストに追加,添加至曲目清單,
bulkEdit,一括編集,批量編輯,
deleteMultiple,まとめて削除,批量刪除,
addSong,曲を追加する,新增歌曲,
showColumns,列の表示,顯示欄位,
exportButton,エクスポート,匯出,
bulkEditCompleted,一括編集が完了しました,批量編輯完成,
songTitle,曲名,歌曲名稱,
furigana,フリガナ,拼音備註,
artist,アーティスト,歌手,
youtube,YouTube,YouTube,
genre,ジャンル,類別,
tag1,タグ1,標籤1,
tag2,タグ2,標籤2,
tag3,タグ3,標籤3,
tag4,タグ4,標籤4,
tag5,タグ5,標籤5,
singingCount,歌唱回数,演唱次數,
skillLevel,熟練度,熟練度,
note,備考,備註,
memo,メモ,備註,
freeKeyword,フリーキーワード,關鍵詞搜索,
searchByKeyword,キーワードで検索,輸入關鍵詞搜索,
filter,絞り込み,篩選,
advancedSearch,詳細検索,高級搜索,
orLess,以下,以下,
orMore,以上,以上,
tag,タグ,標籤,
commaSeparatedMaxFiveTags,カンマ区切りで最大5つまで,最多五個，以逗號分隔,
maxFiveTags,タグは最大5つまでです。,標籤最多只能有5個。,
exclude,除外,排除,
excludeTags,除外タグ,排除標籤,
excludeGenres,除外ジャンル,排除類別,
commaSeparatedExcludeTags,カンマ区切りでタグを除外,逗號分隔排除標籤,
commaSeparatedExcludeGenres,カンマ区切りでジャンルを除外,逗號分隔排除類別,
addManually,手動で追加,手動添加,
addFromCSV,CSVファイルから追加,從CSV文件添加,
addFromYoutubePlaylist,Youtubeの再生リストから追加,從YouTube播放列表添加,
addSongsToSetlist,セットリストに曲を追加,添加歌曲至曲目清單,
existingSetlists,既存のセットリスト,現有曲目清單,
